endTime,artistName,trackName,msPlayed
2019-12-10 19:02,Anderson .Paak,Reachin' 2 Much (feat. Lalah Hathaway),355458
2019-12-10 19:05,Buddy,Trouble On Central,185985
2019-12-10 19:06,Tennis,No Exit,12072
2019-12-10 19:15,Tennis,No Exit,222235
2019-12-10 19:20,Mac Miller,Ladders,287040
2019-12-10 19:23,ZHU,Cocaine Model,9028
2019-12-10 19:23,Bear Hands,Like Me Like That,1533
2019-12-10 19:23,Anderson .Paak,Winners Circle,209202
2019-12-10 19:27,Bear Hands,Marathon Man,252986
2019-12-10 19:28,William Bolton,Keep Me Waiting,13786
2019-12-11 01:24,William Bolton,Keep Me Waiting,125669
2019-12-11 01:27,Dr. Dog,Where'd All the Time Go?,207778
2019-12-11 01:31,William Bolton,Let Me Know,235473
2019-12-11 01:35,Fastball,The Way,240317
2019-12-11 01:39,Disclosure,Feel Like I Do,195136
2019-12-11 01:41,Mac Miller,What's the Use?,109518
2019-12-11 03:57,Tessellated,I Learnt Some Jazz Today,1850
2019-12-11 03:57,GoldLink,Summatime (feat. Wale & Radiant Children),5650
2019-12-11 04:01,NASAYA,PATTERNS,228571
2019-12-11 04:04,Hayden James,Better Together - Happiness Is Wealth Disco Remix,7123
2019-12-11 04:04,Schwey,Sh’qweyla,182385
2019-12-11 04:34,Big Wild,Joypunks,157138
2019-12-11 16:03,Kota the Friend,Alkaline,179102
2019-12-11 16:06,Tennis,Runner,216960
2019-12-11 16:09,Tennis,Long Boat Pass,137500
2019-12-11 22:19,Slow Magic,Mind - Tomggg Remix,9905
2019-12-11 22:23,Big Wild,City of Sound,232000
2019-12-11 22:28,LOOPRAT,All the Way Live,279125
2019-12-11 22:32,Bas,Tribe (with J. Cole),238053
2019-12-11 22:35,William Bolton,Dream at Night (feat. Dillon Ashton),205614
2019-12-11 22:38,TOKiMONSTA,Gamble,146441
2019-12-11 22:38,Magic City Hippies,Limestone,34168
2019-12-11 22:41,Anderson .Paak,King James,196211
2019-12-12 02:24,upper class,Atlantic.wav,137764
2019-12-12 02:27,Michael Christmas,SAY CHEESE,196000
2019-12-12 02:35,Bahamas,So Free,477280
2019-12-12 02:38,Carter Ace,If It Don't Work,194247
2019-12-12 02:41,Kid Abstrakt,Love,183125
2019-12-12 02:49,Isaac Hayes,Hung Up On My Baby - Extended Jam,451213
2019-12-12 02:52,Blake Anthony,Black Coffee,204905
2019-12-12 02:56,blackwave.,The Antidote,196053
